,YEAR,COUNTRY,Number of Players,Rank
34,2008,France,8,1.0
119,2008,Serbia,6,2.0
85,2008,Italy,3,3.0
102,2008,Lithuania,3,4.0
136,2008,Spain,3,5.0
153,2008,Turkey,3,6.0
0,2008,Australia,1,7.0
51,2008,Germany,1,8.0
17,2008,Croatia,0,9.0
68,2008,Greece,0,10.0
35,2009,France,10,1.0
120,2009,Serbia,6,2.0
86,2009,Italy,5,3.0
137,2009,Spain,5,4.0
103,2009,Lithuania,3,5.0
154,2009,Turkey,3,6.0
1,2009,Australia,2,7.0
18,2009,Croatia,2,8.0
52,2009,Germany,1,9.0
69,2009,Greece,0,10.0
36,2010,France,12,1.0
2,2010,Australia,5,2.0
87,2010,Italy,5,3.0
121,2010,Serbia,5,4.0
138,2010,Spain,5,5.0
155,2010,Turkey,4,6.0
19,2010,Croatia,2,7.0
104,2010,Lithuania,2,8.0
53,2010,Germany,1,9.0
70,2010,Greece,0,10.0
37,2011,France,14,1.0
156,2011,Turkey,6,2.0
88,2011,Italy,5,3.0
122,2011,Serbia,5,4.0
3,2011,Australia,4,5.0
139,2011,Spain,4,6.0
105,2011,Lithuania,3,7.0
54,2011,Germany,1,8.0
20,2011,Croatia,0,9.0
71,2011,Greece,0,10.0
38,2012,France,11,1.0
157,2012,Turkey,8,2.0
4,2012,Australia,5,3.0
89,2012,Italy,5,4.0
140,2012,Spain,5,5.0
123,2012,Serbia,3,6.0
55,2012,Germany,1,7.0
106,2012,Lithuania,1,8.0
21,2012,Croatia,0,9.0
72,2012,Greece,0,10.0
39,2013,France,14,1.0
5,2013,Australia,6,2.0
141,2013,Spain,6,3.0
90,2013,Italy,5,4.0
158,2013,Turkey,5,5.0
107,2013,Lithuania,4,6.0
124,2013,Serbia,3,7.0
56,2013,Germany,2,8.0
22,2013,Croatia,0,9.0
73,2013,Greece,0,10.0
40,2014,France,14,1.0
6,2014,Australia,7,2.0
142,2014,Spain,6,3.0
159,2014,Turkey,5,4.0
57,2014,Germany,4,5.0
91,2014,Italy,4,6.0
125,2014,Serbia,4,7.0
108,2014,Lithuania,3,8.0
74,2014,Greece,2,9.0
23,2014,Croatia,0,10.0
41,2015,France,14,1.0
7,2015,Australia,12,2.0
92,2015,Italy,6,3.0
143,2015,Spain,6,4.0
160,2015,Turkey,6,5.0
75,2015,Greece,4,6.0
24,2015,Croatia,3,7.0
58,2015,Germany,3,8.0
109,2015,Lithuania,3,9.0
126,2015,Serbia,3,10.0
42,2016,France,14,1.0
8,2016,Australia,10,2.0
76,2016,Greece,6,3.0
25,2016,Croatia,5,4.0
93,2016,Italy,5,5.0
127,2016,Serbia,5,6.0
59,2016,Germany,4,7.0
144,2016,Spain,4,8.0
161,2016,Turkey,4,9.0
110,2016,Lithuania,3,10.0
43,2017,France,14,1.0
9,2017,Australia,11,2.0
26,2017,Croatia,10,3.0
145,2017,Spain,10,4.0
111,2017,Lithuania,7,5.0
128,2017,Serbia,5,6.0
60,2017,Germany,4,7.0
162,2017,Turkey,4,8.0
77,2017,Greece,3,9.0
94,2017,Italy,3,10.0
10,2018,Australia,14,1.0
44,2018,France,12,2.0
27,2018,Croatia,10,3.0
129,2018,Serbia,9,4.0
146,2018,Spain,9,5.0
61,2018,Germany,8,6.0
163,2018,Turkey,7,7.0
112,2018,Lithuania,6,8.0
78,2018,Greece,3,9.0
95,2018,Italy,3,10.0
11,2019,Australia,18,1.0
45,2019,France,12,2.0
62,2019,Germany,12,3.0
28,2019,Croatia,10,4.0
130,2019,Serbia,9,5.0
147,2019,Spain,9,6.0
164,2019,Turkey,6,7.0
113,2019,Lithuania,5,8.0
79,2019,Greece,3,9.0
96,2019,Italy,3,10.0
46,2020,France,18,1.0
12,2020,Australia,15,2.0
29,2020,Croatia,11,3.0
63,2020,Germany,11,4.0
131,2020,Serbia,9,5.0
165,2020,Turkey,6,6.0
80,2020,Greece,5,7.0
148,2020,Spain,5,8.0
97,2020,Italy,4,9.0
114,2020,Lithuania,4,10.0
47,2021,France,21,1.0
13,2021,Australia,15,2.0
64,2021,Germany,11,3.0
132,2021,Serbia,9,4.0
30,2021,Croatia,7,5.0
115,2021,Lithuania,6,6.0
166,2021,Turkey,6,7.0
81,2021,Greece,5,8.0
149,2021,Spain,5,9.0
98,2021,Italy,4,10.0
48,2022,France,21,1.0
65,2022,Germany,15,2.0
14,2022,Australia,12,3.0
133,2022,Serbia,8,4.0
150,2022,Spain,8,5.0
167,2022,Turkey,8,6.0
116,2022,Lithuania,7,7.0
82,2022,Greece,5,8.0
31,2022,Croatia,4,9.0
99,2022,Italy,2,10.0
15,2023,Australia,20,1.0
49,2023,France,16,2.0
66,2023,Germany,14,3.0
134,2023,Serbia,9,4.0
151,2023,Spain,8,5.0
32,2023,Croatia,7,6.0
168,2023,Turkey,6,7.0
83,2023,Greece,4,8.0
117,2023,Lithuania,4,9.0
100,2023,Italy,2,10.0
50,2024,France,25,1.0
16,2024,Australia,20,2.0
67,2024,Germany,12,3.0
135,2024,Serbia,12,4.0
169,2024,Turkey,8,5.0
33,2024,Croatia,7,6.0
101,2024,Italy,6,7.0
84,2024,Greece,4,8.0
118,2024,Lithuania,4,9.0
152,2024,Spain,4,10.0
